,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
879,bmw 420,61023769,BMW,420,Black,Metallic,Black interior,Full leather interior,Coupe,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,135 kW,,122 g/km,Euro 6d-TEMP,,,,,,6 800 km,3/2023,Used,5.3 l/100km (combined); 5.3 l/100km (city); 5.3 l/100km ,52299,EUR,Ventilated front seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot,1 998 ccm,,,,,,,,1600,Germany,,,
880,volkswagen golf,61023766,Volkswagen,Golf,White,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,115 g/km,Euro 6d-TEMP,,,,,,164 000 km,3/2019,,4.4 l/100km (combined); 5.2 l/100km (city); 3.9 l/100km ,14299,EUR,Adaptive cruise control; Heated front seats; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,1 968 ccm,02/2024,1,,,,,,,,,,
881,audi a3,61023768,Audi,A3,Grey,,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,150 kW,80 kW,115 g/km,Euro 6d,Lithium-ion (Li-ion),5 h,,160000 km,No,55 850 km,6/2020,,5.6 l/100km (combined),27299,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning,1 395 ccm,,1,110 kW,13 kWh,Plug-in hybrid,,,,,,,
882,renault captur,61023767,Renault,Captur,Black,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,,121 g/km,Euro 6,,,,,,41 790 km,3/2021,Used,5.9 l/100km (combined),17949,EUR,Keyless ignition; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,999 ccm,,1,,,,,12/2024,,,,,
883,bmw x2,61023773,BMW,X2,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,131 kW,,137 g/km,Euro 6d,,,,,,36 650 km,9/2021,,6 l/100km (combined),34099,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 998 ccm,,1,,,,,,,,,,
884,nissan juke,61023772,Nissan,Juke,Red,,,Cloth interior,SUV / offroad,4/5 doors,5,SJNFAAF16U1250908,Petrol,Manual,4x2,84 kW,,0 g/km,,,,,,,10 km,1/2023,New,,24099,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Sport front seats; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Rain sensor,999 ccm,,,,,,,,,,,,
885,mitsubishi eclipse-cross,61023759,Mitsubishi,Eclipse Cross,Silver,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,138 kW,,0 g/km,Euro 6d,,,,,No,15 km,10/2022,Used,17.5 l/100km (combined),35649,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system,2 360 ccm,,,,,Plug-in hybrid,,,1975,Germany,,,
886,audi q5,61023762,Audi,Q5,Blue,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,,144 g/km,Euro 6,,,,,,93 053 km,9/2019,,5.7 l/100km (combined); 5.9 l/100km (city); 5.5 l/100km ,36599,EUR,Electric adjustable front seats; Heated front seats; Navigation system; Sport front seats; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer,1 968 ccm,,1,,,,,,,,,,
887,bmw x2,61023754,BMW,X2,,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,101 kW,,142 g/km,No emission class,,,,,,49 032 km,3/2021,Used,5.9 l/100km (combined),34549,EUR,Adaptive cruise control; Head-up display; Apple CarPlay; El. tailgate; Automatic 2-zones air conditioning; Induction charging for smartphones; Leather; Front collision warning system; Side mirrors with electic adjustment; Alarm,1 499 ccm,,,,,,,,,,,,
888,volkswagen touran,61023744,Volkswagen,Touran,Black,Metallic,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,159 g/km,Euro 5,,,,,,103 102 km,8/2014,,6.8 l/100km (combined); 8.9 l/100km (city); 5.6 l/100km ,14899,EUR,Parking assist system self-steering; Heated front seats; Automatic A/C; High beam assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel,1 390 ccm,,1,,,,,,,,,,
889,bmw 530,61023742,BMW,530,,,,Full leather interior,Sedans / saloons,4/5 doors,5,XXXXXXCCCCCCCXXXX,Hybrid,Automatic,4x2,185 kW,,0 g/km,,,,,,,50 000 km,1/2019,Used,,38049,EUR,LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Internet connection; Keyless ignition; Voice control; Navigation system; Sport front seats,1 998 ccm,,,,,,,,,,,,
890,audi q5,61023751,Audi,Q5,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,150 kW,,152 g/km,Euro 6d,,,,,,10 km,9/2023,New,6.7 l/100km (combined),82149,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,1 984 ccm,,,,,,,,,,,,
891,renault twingo,61023733,Renault,Twingo,White,,,,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,48 kW,,105 g/km,Euro 6,,,,,,15 990 km,7/2019,Used,4.7 l/100km (combined); 5.3 l/100km (city); 3.8 l/100km ,9599,EUR,Bluetooth; Multifunctional steering wheel; Daytime running lights; On-board computer; CD player; USB; AUX; Front electric windows,999 ccm,,,,,,,,,,,,
892,opel corsa,61023734,Opel,Corsa,Grey,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,98 g/km,Euro 6d,,,,,,23 249 km,6/2022,,4.3 l/100km (combined),18749,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Sport front seats; Traffic sign recognition; Bluetooth; Sport-suspension system,1 199 ccm,06/2025,1,,,,,,,,,,
893,ford focus,61023745,Ford,Focus,Black,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,112 g/km,Euro 5,,,,,,112 969 km,5/2014,,4.8 l/100km (combined); 5.9 l/100km (city); 4.2 l/100km ,8899,EUR,Heated front seats; Sport front seats; Bluetooth; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; Leather steering wheel; On-board computer; Heated windshield,998 ccm,,2,,,,,,,,,,
894,mercedes-benz amg-gt,61023740,Mercedes-Benz,AMG GT,Black,Metallic,Black interior,Full leather interior,Coupe,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,430 kW,,284 g/km,Euro 6d-TEMP,,,,,,5 238 km,3/2019,Used,12.4 l/100km (combined); 12.4 l/100km (city); 12.4 l/100km ,211749,EUR,LED headlights; Keyless entry; Burmester audio; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Glare-free high beam headlights; Sport front seats; Traffic sign recognition,3 982 ccm,,,,,,,,1575,,,,
895,volkswagen id.5,61023735,Volkswagen,ID.5,Grey,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,220 kW,,0 g/km,No emission class,,,,,,223 km,12/2022,,,55299,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Android auto; Keyless ignition; Panoramic roof; Navigation system,,,,,,,,,2242,,,,
896,audi a4,61023738,Audi,A4,White,Metallic,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,150 kW,,118 g/km,Euro 6,,,,,,10 km,5/2023,,4.5 l/100km (combined); 4.5 l/100km (city); 4.5 l/100km ,47449,EUR,Digital cockpit; Heated front seats; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor,1 968 ccm,,,,,,,,,,,,
897,audi a3,61023739,Audi,A3,White,,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,99 g/km,Euro 6d-TEMP,,,,,,5 409 km,3/2023,Used,5.1 l/100km (combined),41899,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters,999 ccm,,,,,,,,1260,,,,
898,mercedes-benz gle-350,61023749,Mercedes-Benz,GLE 350,Grey,Metallic,,,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x4,235 kW,,0 g/km,Euro 5,,,,,,72 270 km,12/2021,,,75449,EUR,Parking assist system self-steering; Burmester audio; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Bluetooth; Automatic A/C; High beam assist; Lane assist,1 950 ccm,,,,,,,,,,,,
899,renault clio,61023732,Renault,Clio,Blue,,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,123 g/km,Euro 6,,,,,,10 330 km,5/2023,Used,5.1 l/100km (combined),23699,EUR,Keyless ignition; Navigation system; Sport front seats; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros,1 332 ccm,,,,,,,12/2024,,,,,
900,skoda kamiq,61023716,Skoda,Kamiq,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,110 kW,,113 g/km,Euro 6,,,,,,1 km,9/2023,New,4.9 l/100km (combined),30749,EUR,LED headlights; Heated front seats; Keyless ignition; El. tailgate; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,1 498 ccm,,,,,,,,,,,,
901,audi a3,61023725,Audi,A3,Black,,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,104 g/km,Euro 6,,,,,,13 568 km,2/2023,Used,4.7 l/100km (combined),37749,EUR,Digital cockpit; Adaptive cruise control; Android auto; Automatic multi-zone A/C; Navigation system; Paddle shifters; Sport front seats; Automatic lights; High beam assist; Rain sensor,1 968 ccm,,,,,,,,,,,,
902,opel combo,61023717,Opel,Combo,White,Metallic,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,125 g/km,Euro 6d-TEMP,,,,,,26 300 km,8/2019,,5.5 l/100km (combined); 6.3 l/100km (city); 5 l/100km ,21499,EUR,Keyless entry; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Glare-free high beam headlights; Traffic sign recognition,1 199 ccm,,1,,,,,,,,,,
903,audi a4,61023723,Audi,A4,,,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Other fuel type,Manual,4x2,112 kW,,160 g/km,No emission class,,,,,,15 262 km,12/2022,Used,,44899,EUR,Heated front seats; WLAN/Wifi hotspot; El. tailgate; Sport-suspension system; High beam assist; Rain sensor; Light sensor; Alarm; Start-stop system; AUX,1 984 ccm,,,,,,,,,,,,
904,volkswagen passat,61023730,Volkswagen,Passat,Black,Metallic,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,119 g/km,Euro 6,,,,,,93 400 km,7/2018,,5 l/100km (combined),23199,EUR,LED headlights; Adaptive cruise control; Navigation system; Paddle shifters; Hill-start assist; Front collision warning system; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 968 ccm,12/2025,2,,,,,,,,,,
905,mini cooper,61023715,MINI,Cooper,,Metallic,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,101 kW,,126 g/km,No emission class,,,,,,16 850 km,11/2022,Used,5.3 l/100km (combined),31699,EUR,LED headlights; Apple CarPlay; Automatic 2-zones air conditioning; Induction charging for smartphones; Rain sensor; Light sensor; On-board computer; Alloy wheels,1 499 ccm,,,,,,,,,,,,
906,toyota aygo,61023711,Toyota,Aygo,Orange,,Other interior color,Other interior material,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,53 kW,,95 g/km,No emission class,,,,,,20 000 km,3/2020,Used,4.1 l/100km (combined); 4.1 l/100km (city); 4.1 l/100km ,14899,EUR,Bluetooth; Automatic A/C; USB; Front electric windows; Alloy wheels,998 ccm,,,,,,,,855,Spain,,,
907,bmw x3,61023712,BMW,X3,Black,,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,138 g/km,Euro 6,,,,,,66 477 km,9/2019,Used,5.2 l/100km (combined); 5.2 l/100km (city); 5.2 l/100km ,38399,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Apple CarPlay; WLAN/Wifi hotspot; Keyless ignition; Sport front seats; Bluetooth; Rain sensor; Multifunctional steering wheel,1 995 ccm,,,,,,,,1825,,,,
908,citroen c4-x,61023714,Citroen,C4 X,White,,Other interior color,Other interior material,Sedans / saloons,4/5 doors,,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,,,,,,13 km,3/2023,,0 kWh/100km (combined),36849,EUR,Apple CarPlay; Android auto; Bluetooth; USB,,,,,,,,,,Spain,,,
909,volkswagen taigo,61023720,Volkswagen,Taigo,White,,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,,111 g/km,Euro 6,,,,,,8 820 km,12/2022,Used,4.9 l/100km (combined),27749,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Paddle shifters; Sport front seats; Bluetooth,999 ccm,,,,,,,,,,,,
910,hyundai santa-fe,61023724,Hyundai,Santa Fe,White,,,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,,,,,,,5 km,1/2023,New,5.8 l/100km (combined),60999,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay,1 598 ccm,,,,,,,,,,,,
911,bmw ix3,61023729,BMW,iX3,Black,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,210 kW,,0 g/km,No emission class,,,,,,1 km,11/2023,,0 kWh/100km (combined),67799,EUR,Harman/Kardon audio,,,,,,,,,2195,Spain,,,
912,ford fiesta,61023728,Ford,Fiesta,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,,90 g/km,Euro 6,,,,,No,29 800 km,9/2020,,4 l/100km (combined); 4.8 l/100km (city); 3.6 l/100km ,16899,EUR,LED headlights; Heated front seats; Apple CarPlay; Voice control; Heated steering wheel; Sport front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor,999 ccm,09/2023,1,,,Mild hybrid,,,,,,,
913,cupra born,61023708,Cupra,Born,Grey,Metallic,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,,,,,,10 222 km,3/2023,Used,16 kWh/100km (combined),39399,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition,,,,,,,,,1818,,,,
914,volkswagen caddy,61023726,Volkswagen,Caddy,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,not published by the seller,Diesel,Manual,4x2,90 kW,,124 g/km,Euro 6d,,,,,,6 036 km,12/2022,,4.7 l/100km (combined); 6 l/100km (city); 3.8 l/100km ,33649,EUR,Heated front seats; Bluetooth; Light sensor; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; Automatic parking brake; Start-stop system; Fatigue warning system; USB,1 968 ccm,,1,,,,,,,,,,
915,seat leon,61023709,Seat,Leon,White,,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,,109 g/km,Euro 6d-TEMP,,,,,,89 096 km,9/2019,,4.2 l/100km (combined); 4.7 l/100km (city); 3.8 l/100km ,16799,EUR,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C,1 598 ccm,,1,,,,,,,,,,
916,bmw 230,61023718,BMW,230,White,,Black interior,Cloth interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,185 kW,,144 g/km,Euro 6,,,,,,74 600 km,8/2019,,6.3 l/100km (combined); 7.5 l/100km (city); 5.6 l/100km ,29349,EUR,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Sport front seats; Traffic sign recognition,1 998 ccm,,,,,,,,,,,,
917,renault clio,61023731,Renault,Clio,Silver,,,Cloth interior,Hatchback,4/5 doors,5,VF1RJA00767284820,Petrol,Manual,4x2,66 kW,,112 g/km,,,,,,,24 964 km,1/2021,Used,5.2 l/100km (combined),14649,EUR,Parking assist system self-steering; LED headlights; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Automatic lights,999 ccm,,,,,,,,,,,,
918,peugeot 208,61023719,Peugeot,208,Grey,Metallic,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,55 kW,,90 g/km,Euro 6,,,,,,32 645 km,8/2017,Used,3.5 l/100km (combined),13899,EUR,Bluetooth; Hill-start assist; Daytime running lights,1 560 ccm,,1,,,,,06/2024,,,,,
919,skoda karoq,61023713,Skoda,Karoq,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,,139 g/km,Euro 6d,,,,,,130 361 km,9/2020,,5.3 l/100km (combined),24649,EUR,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1 968 ccm,,1,,,,,,,,,,
920,peugeot 3008,61023691,Peugeot,3008,Blue,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,122 g/km,Euro 6,,,,,,9 812 km,7/2022,Used,6.5 l/100km (combined),36699,EUR,Digital cockpit; Bluetooth; Hill-start assist; Electrically heated side mirrors; Leather steering wheel; Automatic parking brake; Start-stop system; Ambient lighting; USB; Front electric windows,1 199 ccm,,1,,,,,12/2024,,,,,
921,kia ev9,61023698,Kia,EV9,Black,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,7,not published by the seller,Electric,Automatic,4x4,283 kW,,0 g/km,No emission class,,,,,,723 km,11/2023,Demonstration car,0 kWh/100km (combined),83499,EUR,Ventilated front seats; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto,,,,,,,,,2550,,,,
922,hyundai kona,61023688,Hyundai,Kona,Green,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,88 kW,,125 g/km,Euro 6d,,,,,,50 km,11/2023,,5.5 l/100km (combined); 7.3 l/100km (city); 5.9 l/100km ,29899,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,998 ccm,,1,,,,,,,,,,
923,bmw x7,61023685,BMW,X7,White,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,6,not published by the seller,Diesel,Automatic,4x4,294 kW,,185 g/km,Euro 6d-TEMP,,,,,,60 816 km,5/2019,,7.3 l/100km (combined); 7.8 l/100km (city); 6.7 l/100km ,82749,EUR,Laser headlights; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Active steering,2 993 ccm,05/2025,1,,,,,,,,,,
924,renault megane,61023695,Renault,Megane,White,Metallic,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,205 kW,,158 g/km,Euro 6,,,,,,17 499 km,3/2018,Used,6.6 l/100km (combined),40349,EUR,Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Rear parking camera; Sport-suspension system,1 798 ccm,,,,,,,12/2024,,,,,
925,volvo xc40,61023705,Volvo,XC40,Blue,Metallic,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,182 kW,,164 g/km,Euro 6d-TEMP,,,,,,44 100 km,7/2018,,7.1 l/100km (combined),31399,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1 969 ccm,,1,,,,,,,,,,
926,fiat tipo,61023684,Fiat,Tipo,Grey,Metallic,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,,132 g/km,Euro 6d,,,,,,75 880 km,5/2019,Used,5.8 l/100km (combined); 5.8 l/100km (city); 5.8 l/100km ,12899,EUR,Apple CarPlay; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,1 368 ccm,,,,,,,,1280,Belgium,,,
927,audi q8,61023702,Audi,Q8,Grey,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,250 kW,,0 g/km,No emission class,,,,,,1 km,9/2023,Used,0 kWh/100km (combined),110449,EUR,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; Keyless ignition; Panoramic roof; Navigation system,,,,,,,,,2676,,,,
928,renault megane,61023701,Renault,Megane,Grey,Metallic,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,96 kW,,0 g/km,No emission class,,,,,No,300 km,11/2022,,16.2 l/100km (combined),44749,EUR,LED headlights; Heated steering wheel; Paddle shifters; Traffic sign recognition; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor; Lane assist; Front collision warning system,,,1,,60 kWh,,,,,,,,
929,renault austral,61023707,Renault,Austral,Black,Metallic,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,118 kW,,0 g/km,Euro 6d-TEMP,,,,,No,15 km,8/2023,Used,,39899,EUR,Driver's seat with massage function; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control,1 332 ccm,,,,,Mild hybrid,,,1546,Germany,,,
930,land-rover range-rover-velar,61023689,Land Rover,Range Rover Velar,Black,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,150 kW,,173 g/km,Euro 6d-TEMP,,,,,,49 199 km,1/2022,Used,7.6 l/100km (combined); 5.3 l/100km (city); 5.3 l/100km ,67299,EUR,LED headlights; Electric adjustable front seats; Bluetooth; Light sensor; Side mirrors with electic adjustment; Alloy wheels,1 998 ccm,,,,,,,,2003,,,,
931,mercedes-benz gle-53-amg,61023692,Mercedes-Benz,GLE 53 AMG,Black,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,320 kW,,0 g/km,Euro 6,,,,,,32 846 km,3/2021,Used,,84849,EUR,,2 999 ccm,,,,,,,,2305,Italy,,,
932,volkswagen golf,61023703,Volkswagen,Golf,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,147 kW,,99 g/km,No emission class,,,,,,0 km,9/2023,New,3.8 l/100km (combined),49649,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Sport front seats; Bluetooth,2 000 ccm,,,,,,,,,Germany,,,
933,skoda fabia,61023706,Skoda,Fabia,,,Other interior color,Other interior material,Hatchback,4/5 doors,,not published by the seller,Petrol,Manual,4x2,70 kW,,0 g/km,Euro 6,,,,,,1 km,9/2023,New,,20949,EUR,LED headlights; Heated front seats; Keyless ignition; Bluetooth; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Daytime running lights,999 ccm,,,,,,,,1109,,,,
934,seat leon,61023697,Seat,Leon,,,Other interior color,Other interior material,Hatchback,4/5 doors,,not published by the seller,Diesel,Automatic,4x2,110 kW,,105 g/km,No emission class,,,,,,1 km,9/2023,New,4 l/100km (combined); 4.8 l/100km (city); 4.8 l/100km ,35599,EUR,Digital cockpit; Keyless entry; Integrated music streaming; Keyless ignition; Paddle shifters; Bluetooth; Automatic A/C; Lane assist; Front collision warning system; Multifunctional steering wheel,1 968 ccm,,,,,,,,1448,,,,
935,volkswagen t-roc,61023696,Volkswagen,T-Roc,Grey,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,119 g/km,No emission class,,,,,,77 217 km,5/2021,Used,6 l/100km (combined),21799,EUR,Bluetooth; USB,999 ccm,,,,,,,,1270,Spain,,,
936,bmw 520,61023690,BMW,520,Black,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,,114 g/km,Euro 6d,,,,,,92 840 km,11/2020,,4.3 l/100km (combined); 4.8 l/100km (city); 4.1 l/100km ,33849,EUR,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 995 ccm,,2,,,,,,,,,,
937,dacia duster,61023687,Dacia,Duster,Grey,Metallic,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,67 kW,,137 g/km,Euro 6d-TEMP,,,,,,20 km,9/2022,Used,6.1 l/100km (combined),22899,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Automatic A/C; Light sensor,999 ccm,,,,,,,,1264,,,,
