CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
suzuki jimny,Suzuki,Jimny,Black,Black interior,Cloth interior,SUV / offroad,2/3 doors,2.0,Petrol,Manual,4x4,75,173,Euro 6d-TEMP,5,12/2023,New,7.7,33399,Heated front seats; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Fatigue warning system,1462.0,1.0
audi a8,Audi,A8,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x4,258,199,Euro 5,91580,3/2010,Used,7.6,26299,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Integrated music streaming,4134.0,2.0
renault twingo,Renault,Twingo,White,Other interior color,Cloth interior,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,51,112,Euro 6,50000,9/2016,Used,5.0,7799,Panoramic roof; Hill-start assist; Multifunctional steering wheel; Daytime running lights; On-board computer; Alarm; Front electric windows,999.0,2.0
volkswagen up!,Volkswagen,up!,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,61,98,No emission class,0,9/2023,New,5.0,27499,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999.0,0.0
volkswagen t-cross,Volkswagen,T-Cross,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,110,Euro 6d-TEMP,19346,9/2022,Used,5.8,21399,Digital cockpit; Adaptive cruise control; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Lane assist,999.0,1.0
ford kuga,Ford,Kuga,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,125,Euro 6d,15561,2/2022,Used,6.6,26749,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1496.0,1.0
volvo v60,Volvo,V60,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x4,228,171,Euro 6d-TEMP,64801,2/2020,Used,7.4,29899,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,1969.0,1.0
kia sportage,Kia,Sportage,Green,Black interior,Velour interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,132,137,Euro 6d,10,10/2023,Demonstration car,6.0,45799,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay,1598.0,0.0
lexus rx-450,Lexus,RX 450,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Hybrid,Automatic,4x4,230,138,Euro 6,80670,9/2018,Used,6.0,44949,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Mark Levinson audio; Heated front seats; Head-up display,3456.0,5.0
mini cooper-s,MINI,Cooper S,Silver,Black interior,Other interior material,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,135,136,Euro 5,170000,7/2010,Used,5.8,9899,Harman/Kardon audio; Heated front seats; Voice control; Sport front seats; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel,1598.0,2.0
aston-martin dbx,Aston Martin,DBX,Silver,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,405,342,No emission class,7900,1/2023,Used,14.3,183399,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,3982.0,1.0
citroen c5-aircross,Citroen,C5 Aircross,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,96,102,Euro 6d,53612,3/2021,Used,5.2,27299,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control,1499.0,1.0
bmw ix,BMW,iX,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x4,385,0,No emission class,0,8/2023,New,0.0,122999,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,1499.0,0.0
opel combo,Opel,Combo,Silver,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,96,111,No emission class,3,1/2023,New,4.2,29899,Heated front seats; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Lane assist; Hill-start assist; Multifunctional steering wheel; Leather steering wheel,1499.0,1.0
